0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,-3.7808,-4.4647,0.7909,0.0006,-0.0069,0.4110
10,-0.9761,-1.4676,0.3691,-0.0036,-0.0003,0.4247
15,-2.3775,-3.2329,0.3952,-0.0058,-0.0033,0.7438
20,-0.3278,-0.1406,0.7848,-0.0201,0.0189,0.9679
25,-0.4304,-0.0601,-0.1293,-0.0093,0.0000,0.9894
30,-0.3356,-0.1381,-0.3979,-0.0104,-0.0023,0.9870
35,-0.3524,-0.1967,-0.3317,-0.0101,-0.0020,0.9886
40,-0.3792,-0.1450,-0.3507,-0.0088,-0.0026,0.9861
45,-0.4415,-0.2051,-0.3718,-0.0092,-0.0045,0.9880
50,-0.3832,-0.1884,-0.3940,-0.0086,-0.0038,0.9895
55,-0.2320,-0.0362,-0.3785,-0.0104,-0.0021,0.9859
60,6.4290,7.9207,-0.6331,-0.0107,0.0013,0.9819
65,9.3516,11.2248,-4.0911,-0.0035,0.0007,0.9914
70,10.0387,12.4659,-4.5302,-0.0157,0.0029,0.9967
75,-0.1010,0.1891,-0.6447,-0.0144,-0.0003,0.9796
80,0.8106,1.5922,-0.3960,-0.0224,0.0079,0.9898
85,0.1876,0.6841,-1.2753,-0.0181,0.0062,0.9905
90,-0.0943,0.0827,-6.2507,0.0171,-0.0199,0.9851
95,0.0404,0.3896,-3.6114,-0.0143,-0.0039,0.9874
100,-0.2396,0.2531,-4.8089,-0.0161,-0.0062,0.9885
105,-0.2795,0.1593,0.5304,-0.0448,0.0239,0.9853
110,-0.0808,0.2679,0.2147,-0.0250,0.0103,0.9888
115,-0.7885,-0.5964,0.9251,-0.0165,0.0131,0.9895
120,-2.0630,-2.4610,2.0325,-0.0191,0.0216,0.9922
125,-8.4706,-10.6964,8.4233,-0.0046,0.0248,0.9890
130,-10.9837,-14.0983,4.7675,-0.0318,-0.0322,0.9929
