0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-3.7808,-4.4647,0.7909,0.0006,-0.0069,0.411,0,0,0,1,32,0.1,0.1,0.1
10,-0.9761,-1.4676,0.3691,-0.0036,-0.0003,0.4247,0,0,0,1,32,0.1,0.1,0.1
15,-2.3775,-3.2329,0.3952,-0.0058,-0.0033,0.7438,0,0,0,1,32,0.1,0.1,0.1
20,-0.3278,-0.1406,0.7848,-0.0201,0.0189,0.9679,0,0,0,1,32,0.1,0.1,0.1
25,-0.4304,-0.0601,-0.1293,-0.0093,0,0.9894,0,0,0,1,32,0.1,0.1,0.1
30,-0.3356,-0.1381,-0.3979,-0.0104,-0.0023,0.987,0,0,0,1,32,0.1,0.1,0.1
35,-0.3524,-0.1967,-0.3317,-0.0101,-0.002,0.9886,0,0,0,1,32,0.1,0.1,0.1
40,-0.3792,-0.145,-0.3507,-0.0088,-0.0026,0.9861,0,0,0,1,32,0.1,0.1,0.1
45,-0.4415,-0.2051,-0.3718,-0.0092,-0.0045,0.988,0,0,0,1,32,0.1,0.1,0.1
50,-0.3832,-0.1884,-0.394,-0.0086,-0.0038,0.9895,0,0,0,1,32,0.1,0.1,0.1
55,-0.232,-0.0362,-0.3785,-0.0104,-0.0021,0.9859,0,0,0,1,32,0.1,0.1,0.1
60,6.429,7.9207,-0.6331,-0.0107,0.0013,0.9819,0,0,0,1,32,0.1,0.1,0.1
65,9.3516,11.2248,-4.0911,-0.0035,0.0007,0.9914,0,0,0,1,32,0.1,0.1,0.1
70,10.0387,12.4659,-4.5302,-0.0157,0.0029,0.9967,0,0,0,1,32,0.1,0.1,0.1
75,-0.101,0.1891,-0.6447,-0.0144,-0.0003,0.9796,0,0,0,1,32,0.1,0.1,0.1
80,0.8106,1.5922,-0.396,-0.0224,0.0079,0.9898,0,0,0,1,32,0.1,0.1,0.1
85,0.1876,0.6841,-1.2753,-0.0181,0.0062,0.9905,0,0,0,1,32,0.1,0.1,0.1
90,-0.0943,0.0827,-6.2507,0.0171,-0.0199,0.9851,0,0,0,1,32,0.1,0.1,0.1
95,0.0404,0.3896,-3.6114,-0.0143,-0.0039,0.9874,0,0,0,1,32,0.1,0.1,0.1
100,-0.2396,0.2531,-4.8089,-0.0161,-0.0062,0.9885,0,0,0,1,32,0.1,0.1,0.1
105,-0.2795,0.1593,0.5304,-0.0448,0.0239,0.9853,0,0,0,1,32,0.1,0.1,0.1
110,-0.0808,0.2679,0.2147,-0.025,0.0103,0.9888,0,0,0,1,32,0.1,0.1,0.1
115,-0.7885,-0.5964,0.9251,-0.0165,0.0131,0.9895,0,0,0,1,32,0.1,0.1,0.1
120,-2.063,-2.461,2.0325,-0.0191,0.0216,0.9922,0,0,0,1,32,0.1,0.1,0.1
125,-8.4706,-10.6964,8.4233,-0.0046,0.0248,0.989,0,0,0,1,32,0.1,0.1,0.1
130,-10.9837,-14.0983,4.7675,-0.0318,-0.0322,0.9929,0,0,0,1,32,0.1,0.1,0.1
135,-12.3883,-16.1931,5.6058,0.0081,0.0026,0.9988,0,0,0,1,32,0.1,0.1,0.1
140,-0.3891,0.1598,2.6469,-0.0586,-0.049,0.9931,0,0,0,1,32,0.1,0.1,0.1
145,-0.4171,-0.1344,0.1347,-0.0063,-0.0026,0.9855,0,0,0,1,32,0.1,0.1,0.1
150,-0.3433,0.0401,0.3662,-0.0039,-0.0018,0.9892,0,0,0,1,32,0.1,0.1,0.1
155,-0.558,-0.2374,3.5784,0.0173,0.0262,0.9887,0,0,0,1,32,0.1,0.1,0.1
160,-0.5853,-0.788,5.4336,0.0102,0.0227,0.9785,0,0,0,1,32,0.1,0.1,0.1
165,0.0086,2.2682,8.5046,0.0151,-0.0004,0.9716,0,0,0,1,32,0.1,0.1,0.1
170,-0.2694,-0.8023,1.1963,-0.063,-0.0998,0.9851,0,0,0,1,32,0.1,0.1,0.1
175,-0.145,1.3684,-0.3103,-0.0019,-0.0043,1.0012,0,0,0,1,32,0.1,0.1,0.1
180,-0.3667,-0.1603,-0.2938,-0.0101,-0.0045,0.9918,0,0,0,1,32,0.1,0.1,0.1
185,-0.374,0.1303,-0.2647,-0.0048,-0.0027,0.9909,0,0,0,1,32,0.1,0.1,0.1
190,-0.3521,0.1079,-0.2758,-0.0064,-0.0024,0.9882,0,0,0,1,32,0.1,0.1,0.1
195,-0.3026,0.1246,-0.2733,-0.0057,-0.0036,0.9909,0,0,0,1,32,0.1,0.1,0.1
200,-0.2876,0.249,-0.2896,-0.0046,-0.0052,0.9818,0,0,0,1,32,0.1,0.1,0.1
205,-0.4228,0.051,-0.2728,-0.0046,-0.0035,0.9866,0,0,0,1,32,0.1,0.1,0.1
210,-0.4383,-0.2115,-0.3125,-0.0047,-0.0021,0.9964,0,0,0,1,32,0.1,0.1,0.1
215,-0.5233,-0.1756,-0.2595,-0.0076,-0.0041,0.9907,0,0,0,1,32,0.1,0.1,0.1
225,-0.4275,0.0231,-0.3044,-0.0038,-0.0056,0.9837,0,0,0,1,32,0.1,0.1,0.1
230,-0.3627,0.0928,-0.2913,-0.0066,-0.0049,0.9874,0,0,0,1,32,0.1,0.1,0.1
235,-0.3142,0.0295,-0.2943,-0.005,-0.0029,0.9898,0,0,0,1,32,0.1,0.1,0.1
240,-0.3236,-0.0069,-0.245,-0.006,-0.0029,0.9912,0,0,0,1,32,0.1,0.1,0.1
245,-0.3526,0.0559,-0.293,-0.0055,-0.004,0.9887,0,0,0,1,32,0.1,0.1,0.1
250,-0.3196,0.0291,-0.2898,-0.0068,-0.0063,0.9851,0,0,0,1,32,0.1,0.1,0.1
